authors,title,views,citations
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",In Praise of Simplicity not Mathematistry! Ten Simple Powerful Ideas for the Statistical Scientist,11632,7
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Partially Ordered Mixed Hidden Markov Model for the Disablement Process of Older Adults,606,13
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",A Generalized Fellegi–Sunter Framework for Multiple Record Linkage With Application to Homicide Record Systems,592,18
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Tracking Multiple Targets Using Binary Decisions From Wireless Sensor Networks,400,0
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Spline-Based Emulators for Radiative Shock Experiments With Measurement Error,755,7
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",A Bayesian Reliability Analysis of Neutron-Induced Errors in High Performance Computing Hardware,277,3
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Treatment Evaluation With Selective Participation and Ineligibles,539,1
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Straight to the Source: Detecting Aggregate Objects in Astronomical Images With Proper Error Control,226,3
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Mediation and Spillover Effects in Group-Randomized Trials: A Case Study of the 4Rs Educational Intervention,604,11
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",A Hierarchical Bayesian Approach for Aerosol Retrieval Using MISR Data,425,2
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Bayesian Hierarchical Poisson Regression Models: An Application to a Driving Study With Kinematic Events,656,11
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Partially Identified Treatment Effects Under Imperfect Compliance: The Case of Domestic Violence,570,6
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",A Study of Mexican Free-Tailed Bat Chirp Syllables: Bayesian Functional Mixed Models for Nonstationary Acoustic Time Series,237,7
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Effectively Selecting a Target Population for a Future Comparative Study,958,37
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Tensor Regression with Applications in Neuroimaging Data Analysis,1863,43
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Auxiliary Marker-Assisted Classification in the Absence of Class Identifiers,358,3
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Unified Analysis of Secondary Traits in Case–Control Association Studies,348,4
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Clustering High-Dimensional Time Series Based on Parallelism,798,1
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Bayesian Subset Modeling for High-Dimensional Generalized Linear Models,1342,8
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Empirical Bayes Confidence Intervals for Selected Parameters in High-Dimensional Data,1057,3
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Oracally Efficient Two-Step Estimation of Generalized Additive Model,608,7
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Robust Variable Selection With Exponential Squared Loss,1349,29
" Arpita   Ghosh ,  Fred A.   Wright  &  Fei   Zou ",Efficient Robust Regression via Two-Stage Generalized Empirical Likelihood,1047,6
