Year,Volume,Issue
2017,112,519
2017,112,518
2017,112,517
2016,111,516
2016,111,515
2016,111,514
2016,111,513
2015,110,512
2015,110,511
2015,110,510
2015,110,509
2014,109,508
2014,109,507
2014,109,506
2014,109,505
2013,108,504
2013,108,503
2013,108,502
2013,108,501
2012,107,500
2012,107,499
2012,107,498
2012,107,497
2011,106,496
2011,106,495
2011,106,494
2011,106,493
2010,105,492
2010,105,491
2010,105,490
2010,105,489
2009,104,488
2009,104,487
2009,104,486
2009,104,485
2008,103,484
2008,103,483
2008,103,482
2008,103,481
2007,102,480
2007,102,479
2007,102,478
2007,102,477
2006,101,476
2006,101,475
2006,101,474
2006,101,473
2005,100,472
2005,100,471
2005,100,470
2005,100,469
2004,99,468
2004,99,467
2004,99,466
2004,99,465
2003,98,464
2003,98,463
2003,98,462
2003,98,461
2002,97,460
2002,97,459
2002,97,458
2002,97,457
2001,96,456
2001,96,455
2001,96,454
2001,96,453
2000,95,452
2000,95,451
2000,95,450
2000,95,449
1999,94,448
1999,94,447
1999,94,446
1999,94,445
1998,93,444
1998,93,443
1998,93,442
1998,93,441
1997,92,440
1997,92,439
1997,92,438
1997,92,437
1996,91,436
1996,91,435
1996,91,434
1996,91,433
1995,90,432
1995,90,431
1995,90,430
1995,90,429
1994,89,428
1994,89,427
1994,89,426
1994,89,425
1993,88,424
1993,88,423
1993,88,422
1993,88,421
1992,87,420
1992,87,419
1992,87,418
1992,87,417
1991,86,416
1991,86,415
1991,86,414
1991,86,413
1990,85,412
1990,85,411
1990,85,410
1990,85,409
1989,84,408
1989,84,407
1989,84,406
1989,84,405
1988,83,404
1988,83,403
1988,83,402
1988,83,401
1987,82,400
1987,82,399
1987,82,398
1987,82,397
1986,81,396
1986,81,395
1986,81,394
1986,81,393
1985,80,392
1985,80,391
1985,80,390
1985,80,389
1984,79,388
1984,79,387
1984,79,386
1984,79,385
1983,78,384
1983,78,383
1983,78,382
1983,78,381
1982,77,380
1982,77,379
1982,77,378
1982,77,377
1981,76,376
1981,76,375
1981,76,374
1981,76,373
1980,75,372
1980,75,371
1980,75,370
1980,75,369
1979,74,368
1979,74,367
1979,74,366b
1979,74,366a
1979,74,365
1978,73,364
1978,73,363
1978,73,362
1978,73,361
1977,72,360b
1977,72,360a
1977,72,359
1977,72,358
1977,72,357
1976,71,356
1976,71,355
1976,71,354
1976,71,353
1975,70,352
1975,70,351b
1975,70,351a
1975,70,350
1975,70,349
1974,69,348
1974,69,347
1974,69,346
1974,69,345
1973,68,344
1973,68,343
1973,68,342
1973,68,341
1972,67,340
1972,67,339
1972,67,338
1972,67,337
1971,66,336
1971,66,335
1971,66,334
1971,66,333
