Year,Volume
2017,112
2016,111
2015,110
2014,109
2013,108
2012,107
2011,106
2010,105
2009,104
2008,103
2007,102
2006,101
2005,100
2004,99
2003,98
2002,97
2001,96
2000,95
1999,94
1998,93
1997,92
1996,91
1995,90
1994,89
1993,88
1992,87
1991,86
1990,85
1989,84
1988,83
1987,82
1986,81
1985,80
1984,79
1983,78
1982,77
1981,76
1980,75
1979,74
1978,73
1977,72
1976,71
1975,70
1974,69
1973,68
1972,67
1971,66
1970,65
1969,64
1968,63
1967,62
1966,61
1965,60
1964,59
1963,58
1962,57
1961,56
1960,55
1959,54
1958,53
1957,52
1956,51
1955,50
1954,49
1953,48
1952,47
1951,46
1950,45
1949,44
1948,43
1947,42
1946,41
1945,40
1944,39
1943,38
1942,37
1941,36
1940,35
1939,34
1938,33
1937,32
1936,31
1935,30
1934,29
1933,28
1932,27
1931,26
1930,25
1929,24
1928,23
1927,22
1926,21
1925,20
1924,19
1923,18
1921,17
1919,16
1917,15
1915,14
1913,13
1911,12
1909,11
1907,10
1905,9
1903,8
1901,7
1899,6
1897,5
1895,4
1893,3
1891,2
1889,1
