Issue,Volume,title,authors,views,citations,Year
519,112,Statistical Significance and the Dichotomization of Evidence,Blakeley B. McShane & David Gal,1705,0,2017
519,112,A p-Value to Die For,Donald Berry,888,1,2017
519,112,The Substitute for p-Values,William M. Briggs,2650,1,2017
519,112,Some Natural Solutions to the p-Value Communication Problem—and Why They Won’t Work,Andrew Gelman & John Carlin,571,0,2017
519,112,Statistical Significance and the Dichotomization of Evidence: The Relevance of the ASA Statement on Statistical Significance and p-Values for Statisticians,Eric B. Laber & Kerby Shedden,432,1,2017
519,112,Rejoinder: Statistical Significance and the Dichotomization of Evidence,Blakeley B. McShane & David Gal,402,0,2017
519,112,Optimal Seed Deployment Under Climate Change Using Spatial Models: Application to Loblolly Pine in the Southeastern US,"Alfredo Farjat, Brian J. Reich, Joseph Guinness, Ross Whetten, Steven McKeand & Fikret Isik",326,0,2017
519,112,Mining Massive Amounts of Genomic Data: A Semiparametric Topic Modeling Approach,"Ethan X. Fang, Min-Dian Li, Michael I. Jordan & Han Liu",254,1,2017
519,112,Mortality Rate Estimation and Standardization for Public Reporting: Medicare’s Hospital Compare,"E. I. George, V. Ročková, P. R. Rosenbaum, V. A. Satopää & J. H. Silber",715,0,2017
519,112,"“When, Where, and How” of Efficiency Estimation: Improved Procedures for Stochastic Frontier Modeling",Mike G. Tsionas,290,0,2017
519,112,Set-Based Tests for the Gene–Environment Interaction in Longitudinal Studies,"Zihuai He, Min Zhang, Seunggeun Lee, Jennifer A. Smith, Sharon L. R. Kardia, V. Diez Roux & Bhramar Mukherjee",274,1,2017
519,112,A Geometric Approach to Visualization of Variability in Functional Data,"Weiyi Xie, Sebastian Kurtek, Karthik Bharath & Ying Sun",456,0,2017
519,112,Finding Common Modules in a Time-Varying Network with Application to the Drosophila Melanogaster Gene Regulation Network,Jingfei Zhang & Jiguo Cao,243,0,2017
519,112,MWPCR: Multiscale Weighted Principal Component Regression for High-Dimensional Prediction,"Hongtu Zhu, Dan Shen, Xuewei Peng & Leo Yufeng Liu",426,0,2017
519,112,Constructing Predictive Microbial Signatures at Multiple Taxonomic Levels,Tao Wang & Hongyu Zhao,345,0,2017
519,112,Sparse Simultaneous Signal Detection for Identifying Genetically Controlled Disease Genes,"Sihai Dave Zhao, T. Tony Cai, Thomas P. Cappola, Kenneth B. Margulies & Hongzhe Li",399,0,2017
519,112,Multiscale Spatial Density Smoothing: An Application to Large-Scale Radiological Survey and Anomaly Detection,"Wesley Tansey, Alex Athey, Alex Reinhart & James G. Scott",295,0,2017
519,112,Empirical Likelihood for Random Sets,Karun Adusumilli & Taisuke Otsu,600,0,2017
519,112,Automatic Optimal Batch Size Selection for Recursive Estimators of Time-Average Covariance Matrix,Kin Wai Chan & Chun Yip Yau,187,0,2017
519,112,Continuous Time Analysis of Fleeting Discrete Price Moves,Neil Shephard & Justin J. Yang,127,0,2017
519,112,Joint Estimation of Quantile Planes Over Arbitrary Predictor Spaces,Yun Yang & Surya T. Tokdar,196,3,2017
519,112,On Modeling and Estimation for the Relative Risk and Risk Difference,"Thomas S. Richardson, James M. Robins & Linbo Wang",474,0,2017
519,112,Parsimonious Tensor Response Regression,Lexin Li & Xin Zhang,537,2,2017
519,112,Estimation of Monotone Treatment Effects in Network Experiments,David Choi,493,1,2017
519,112,Generalized Scalar-on-Image Regression Models via Total Variation,"Xiao Wang, Hongtu Zhu & for the Alzheimer’s Disease Neuroimaging Initiative",475,0,2017
519,112,A Functional Varying-Coefficient Single-Index Model for Functional Response Data,"Jialiang Li, Chao Huang, Zhub Hongtu & for the Alzheimer’s Disease Neuroimaging Initiative",770,1,2017
519,112,Clustering Huge Number of Financial Time Series: A Panel Data Approach With High-Dimensional Predictors and Factor Structures,Tomohiro Ando & Jushan Bai,723,1,2017
519,112,Generalized Additive Models for Gigadata: Modeling the U.K. Black Smoke Network Daily Data,"Simon N. Wood, Zheyuan Li, Gavin Shaddick & Nicole H. Augustin",2113,3,2017
519,112,Robust Permutation Tests For Correlation And Regression Coefficients,Cyrus J. DiCiccio & Joseph P. Romano,430,0,2017
519,112,Estimation in the Semiparametric Accelerated Failure Time Model With Missing Covariates: Improving Efficiency Through Augmentation,Jon Arni Steingrimsson & Robert L. Strawderman,617,0,2017
519,112,Tukey g-and-h Random Fields,Ganggang Xu & Marc G. Genton,241,2,2017
519,112,Semiparametric Inference in a Genetic Mixture Model,"Pengfei Li, Yukun Liu & Jing Qin",619,0,2017
519,112,Extrinsic Local Regression on Manifold-Valued Data,"Lizhen Lin, Brian St. Thomas, Hongtu Zhu & David B. Dunson",270,0,2017
519,112,Bayesian Calibration of Inexact Computer Models,Matthew Plumlee,564,2,2017
519,112,Estimating Population Size With Link-Tracing Sampling,Kyle Vincent & Steve Thompson,184,1,2017
519,112,An Effective Semiparametric Estimation Approach for the Sufficient Dimension Reduction Model,Ming-Yueh Huang & Chin-Tsang Chiang,638,1,2017
519,112,On Theoretically Optimal Ranking Functions in Bipartite Ranking,Kazuki Uematsu & Yoonkyung Lee,317,0,2017
519,112,Joint Selection in Mixed Models using Regularized PQL,"Francis K. C. Hui, Samuel Müller & A. H. Welsh",439,2,2017
519,112,Fixed-k Asymptotic Inference About Tail Properties,Ulrich K. Müller & Yulong Wang,162,0,2017
519,112,A Group-Specific Recommender System,"Xuan Bi, Annie Qu, Junhui Wang & Xiaotong Shen",589,1,2017
519,112,"Two-Level Orthogonal Screening Designs With 24, 28, 32, and 36 Runs","Eric D. Schoen, Nha Vo-Thanh & Peter Goos",146,0,2017
519,112,Book Reviews,NA,71,0,2017
518,112,Bayesian Hierarchical Multi-Population Multistate Jolly–Seber Models With Covariates: Application to the Pallid Sturgeon Population Assessment Program,Guohui Wu & Scott H. Holan,697,2,2017
518,112,A Simultaneous Equation Approach to Estimating HIV Prevalence With Nonignorable Missing Responses,"Giampiero Marra, Rosalba Radice, Till Bärnighausen, Simon N. Wood & Mark E. McGovern",718,2,2017
518,112,Modeling Spatial Covariance Using the Limiting Distribution of Spatio-Temporal Random Walks,Ephraim M. Hanks,489,1,2017
518,112,Bayesian Phase I/II Biomarker-Based Dose Finding for Precision Medicine With Molecularly Targeted Agents,Beibei Guo & Ying Yuan,544,1,2017
518,112,Landmark-Constrained Elastic Shape Analysis of Planar Curves,"Justin Strait, Sebastian Kurtek, Emily Bartha & Steven N. MacEachern",295,1,2017
