Issue,Volume,title,authors,views,citations
351b,70,Standards for Discussion and Presentation of Errors in Survey and Census Data,"Maria E. Gonzalez, Jack L. Ogus, Gary Shapiro & Benjamin J. Tepping",25,2
351b,70,Editorial Board Page,,11,0
351a,70,The Design and Analysis of the Observational Study—A Review,Sonja M. McKinlay,32,1
351a,70,The Observational Study—a Review: Comment,Stephen E. Fienberg,17,0
351a,70,A Hybrid Epidemiologic Study Design Useful in Estimating Relative Risk,"L. L. Kupper, A. J. McMichael & R. Spirtas",27,1
351a,70,Consistent Sum-Constrained Models,Alain V. Bultez & Philippe A. Naert,18,2
351a,70,On Any Given Sunday: Fair Competitor Orderings with Maximum Likelihood Methods,Mark Thompson,16,10
351a,70,On a Distribution Law for Word Frequencies,H. S. Sichel,35,0
351a,70,Effect on Classification Error of Random Permutations of Features in Representing Multivariate Data by Faces,Herman Chernoff & M. Haseeb Rizvi,18,10
351a,70,Upper and Lower Bounds for Probability of Guilt Based on Circumstantial Evidence,Robert Longworth Smith & Robert P. Charrow,12,3
351a,70,The Effects of Misclassification on the Bias in the Difference between Two Proportions and the Relative Odds in the Fourfold Table,Judith D. Goldberg,26,11
351a,70,Multivariate Semi-Metric Smoothing in Multiple Prediction,Howard Wainer & David Thissen,13,0
351a,70,A Study of the Powers of Several Methods of Multiple Comparisons,Israel Einot & K. R. Gabriel,38,33
351a,70,An Evaluation of Two Unequal nk Forms of the Tukey Multiple Comparison Statistic,"H. J. Keselman, Larry E. Toothaker & M. Shooter",15,4
351a,70,On the Estimation of a Lifetime Income—A Correction,Frank A. Cowell,11,0
351a,70,Fitting Autoregressions,Richard H. Jones,17,9
351a,70,Bayesian and Non-Bayesian Analysis of Switching Regressions and of Random Coefficient Regression Models,P. A. V. B. Swamy & J. S. Mehta,32,15
351a,70,Estimating the Lags of Lag Processes,Benjamin Kedem-Kimelfeld,12,2
351a,70,Some Properties of the Almon Lag Technique When One Searches for Degree of Polynomial and Lag,Peter A. Frost,15,3
